epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
1768,0.017149901017546654,0.16959205269813538,0.007626851089298725,0.002208865247666836,0.00731418514624238,,81373
,,,,,,3.90625e-06,81374
1769,0.01611243188381195,0.169623464345932,0.007673180662095547,0.0022177358623594046,0.00622151605784893,,81419
,,,,,,3.90625e-06,81420
1770,0.017090199515223503,0.16943451762199402,0.007697985973209143,0.0022194755729287863,0.0071727377362549305,,81465
,,,,,,3.90625e-06,81466
1771,0.01750774122774601,0.16948369145393372,0.007646546699106693,0.0022186862770467997,0.007642511278390884,,81511
,,,,,,3.90625e-06,81512
1772,0.0157746784389019,0.16946068406105042,0.007627879269421101,0.002215753775089979,0.005931043066084385,,81557
,,,,,,3.90625e-06,81558
1773,0.01748000830411911,0.16958807408809662,0.00757794501259923,0.002212073653936386,0.007689984515309334,,81603
,,,,,,3.90625e-06,81604
1774,0.01478083897382021,0.16970981657505035,0.00756350951269269,0.002209931844845414,0.005007393192499876,,81649
,,,,,,3.90625e-06,81650
1775,0.015262449160218239,0.16960369050502777,0.007493231445550919,0.002207750454545021,0.005561471451073885,,81695
,,,,,,3.90625e-06,81696
1776,0.015187777578830719,0.1695101410150528,0.007572823204100132,0.0022006744984537363,0.005414275918155909,,81741
,,,,,,3.90625e-06,81742
1777,0.01603996753692627,0.16958728432655334,0.0076343403197824955,0.002201405353844166,0.0062042223289608955,,81787
,,,,,,3.90625e-06,81788
1778,0.015558448620140553,0.16956578195095062,0.007600155659019947,0.002198454923927784,0.005759837105870247,,81833
,,,,,,3.90625e-06,81834
1779,0.015542617067694664,0.16960319876670837,0.007587313652038574,0.002194530563428998,0.005760775413364172,,81879
,,,,,,3.90625e-06,81880
1780,0.014868630096316338,0.16959089040756226,0.0075742765329778194,0.0021869379561394453,0.005107413977384567,,81925
,,,,,,3.90625e-06,81926
1781,0.0151557307690382,0.16965946555137634,0.007563396822661161,0.0021850254852324724,0.005407312419265509,,81971
,,,,,,3.90625e-06,81972
1782,0.01503043808043003,0.16971474885940552,0.00762766320258379,0.0021816911175847054,0.005221085157245398,,82017
,,,,,,3.90625e-06,82018
1783,0.01595904864370823,0.16961340606212616,0.007538917474448681,0.0021819716785103083,0.006238158326596022,,82063
,,,,,,3.90625e-06,82064
1784,0.017405685037374496,0.16953586041927338,0.007558710873126984,0.0021819304674863815,0.007665042765438557,,82109
,,,,,,3.90625e-06,82110
1785,0.015429914928972721,0.16962401568889618,0.007734242361038923,0.002187550999224186,0.005508119240403175,,82155
,,,,,,3.90625e-06,82156
1786,0.015314450487494469,0.16952337324619293,0.007511124946177006,0.002182301366701722,0.005621022544801235,,82201
,,,,,,3.90625e-06,82202
1787,0.01535413321107626,0.1694188266992569,0.007468365598469973,0.002182431984692812,0.0057033332996070385,,82247
,,,,,,3.90625e-06,82248
1788,0.015763403847813606,0.169417142868042,0.00753781758248806,0.0021844496950507164,0.006041140761226416,,82293
,,,,,,3.90625e-06,82294
1789,0.01500775571912527,0.16942955553531647,0.0075409896671772,0.0021813134662806988,0.005285449326038361,,82339
,,,,,,3.90625e-06,82340
1790,0.01528990175575018,0.16948221623897552,0.00752292899414897,0.002179226605221629,0.005587747786194086,,82385
,,,,,,3.90625e-06,82386
1791,0.016696952283382416,0.16955246031284332,0.007570920046418905,0.0021766757126897573,0.006949353031814098,,82431
,,,,,,3.90625e-06,82432
1792,0.017163706943392754,0.169526606798172,0.007405471056699753,0.002177727874368429,0.0075805094093084335,,82477
,,,,,,3.90625e-06,82478
1793,0.015537121333181858,0.16948750615119934,0.00753961643204093,0.0021778910886496305,0.00581961777061224,,82523
,,,,,,3.90625e-06,82524
1794,0.015247552655637264,0.16957339644432068,0.007509907241910696,0.0021799744572490454,0.005557666067034006,,82569
,,,,,,3.90625e-06,82570
1795,0.015316173434257507,0.16955354809761047,0.00750855915248394,0.0021803593263030052,0.005627259146422148,,82615
,,,,,,3.90625e-06,82616
1796,0.01673523522913456,0.1695173680782318,0.007505042012780905,0.0021785281132906675,0.007051665335893631,,82661
,,,,,,3.90625e-06,82662
1797,0.015320191159844398,0.16944141685962677,0.007576094940304756,0.0021649266127496958,0.005579170770943165,,82707
,,,,,,3.90625e-06,82708
1798,0.014774053357541561,0.16947004199028015,0.007595427334308624,0.0021605552174150944,0.0050180708058178425,,82753
,,,,,,3.90625e-06,82754
1799,0.01488744281232357,0.1696026623249054,0.00762784481048584,0.0021648467518389225,0.005094749387353659,,82799
,,,,,,3.90625e-06,82800
1800,0.015296420082449913,0.1695939004421234,0.007592601701617241,0.002168598584830761,0.005535217467695475,,82845
,,,,,,3.90625e-06,82846
1801,0.015133664943277836,0.16955867409706116,0.007538739126175642,0.0021703667007386684,0.0054245600476861,,82891
,,,,,,3.90625e-06,82892
1802,0.015421794727444649,0.16961020231246948,0.007596224080771208,0.0021710654255002737,0.005654503125697374,,82937
,,,,,,3.90625e-06,82938
1803,0.015080360695719719,0.16957210004329681,0.007575096562504768,0.002171235391870141,0.005334032699465752,,82983
,,,,,,3.90625e-06,82984
1804,0.01703120768070221,0.16950778663158417,0.007383872289210558,0.00217112572863698,0.007476206868886948,,83029
,,,,,,3.90625e-06,83030
1805,0.01537403091788292,0.1694839745759964,0.0074617997743189335,0.002172178588807583,0.0057400548830628395,,83075
,,,,,,3.90625e-06,83076
1806,0.015336913987994194,0.1694282442331314,0.007448119111359119,0.002171627478674054,0.005717165768146515,,83121
,,,,,,3.90625e-06,83122
1807,0.015179582871496677,0.16946302354335785,0.0074851675890386105,0.00217124680057168,0.0055231694132089615,,83167
,,,,,,3.90625e-06,83168
1808,0.015201852656900883,0.16941606998443604,0.007382562849670649,0.0021727222483605146,0.005646567326039076,,83213
,,,,,,3.90625e-06,83214
1809,0.016943570226430893,0.16921670734882355,0.007306647952646017,0.002167614409700036,0.007469305768609047,,83259
,,,,,,3.90625e-06,83260
1810,0.01621423289179802,0.16932080686092377,0.007513590157032013,0.0021635345183312893,0.006537110079079866,,83305
,,,,,,3.90625e-06,83306
1811,0.014860372059047222,0.16934922337532043,0.00741553446277976,0.0021647734101861715,0.005280063021928072,,83351
,,,,,,3.90625e-06,83352
1812,0.01567337103188038,0.16932430863380432,0.007382400333881378,0.002169024897739291,0.0061219437047839165,,83397
,,,,,,3.90625e-06,83398
1813,0.015518823638558388,0.1693638563156128,0.007482861168682575,0.002167418831959367,0.005868543405085802,,83443
,,,,,,3.90625e-06,83444
1814,0.014466066844761372,0.16932518780231476,0.007420605979859829,0.002164374338462949,0.004881089087575674,,83489
,,,,,,3.90625e-06,83490
1815,0.015265824273228645,0.16929151117801666,0.007466425653547049,0.00215591280721128,0.005643483716994524,,83535
,,,,,,3.90625e-06,83536
1816,0.015230023302137852,0.16930434107780457,0.007412790320813656,0.0021535346750169992,0.005663702730089426,,83581
,,,,,,3.90625e-06,83582
1817,0.014764439314603806,0.16937854886054993,0.007422815542668104,0.002152311848476529,0.0051893084309995174,,83627
,,,,,,3.90625e-06,83628
1818,0.01504492200911045,0.16935640573501587,0.007363306824117899,0.002152030821889639,0.0055295806378126144,,83673
,,,,,,3.90625e-06,83674
1819,0.015076655894517899,0.16936422884464264,0.007384388241916895,0.00215286947786808,0.005539400037378073,,83719
,,,,,,3.90625e-06,83720
1820,0.01587812975049019,0.1693221926689148,0.007489823270589113,0.0021528764627873898,0.006235430482774973,,83765
,,,,,,3.90625e-06,83766
1821,0.015480096451938152,0.16923032701015472,0.007503851782530546,0.0021487432532012463,0.005827505141496658,,83811
,,,,,,3.90625e-06,83812
1822,0.01646922156214714,0.16918742656707764,0.007292675320059061,0.0021474207751452923,0.007029126398265362,,83857
,,,,,,3.90625e-06,83858
1823,0.014958241023123264,0.16924376785755157,0.007370274513959885,0.0021481977310031652,0.0054397680796682835,,83903
,,,,,,3.90625e-06,83904
1824,0.015539388172328472,0.16898761689662933,0.007229739334434271,0.002153723267838359,0.006155922077596188,,83949
,,,,,,3.90625e-06,83950
1825,0.015048476867377758,0.1690434217453003,0.007238763850182295,0.0021536180283874273,0.005656094290316105,,83995
,,,,,,3.90625e-06,83996
1826,0.016183752566576004,0.16898806393146515,0.007231257855892181,0.002153271110728383,0.006799224764108658,,84041
,,,,,,3.90625e-06,84042
1827,0.016563549637794495,0.1690497100353241,0.0074340710416436195,0.002152118133381009,0.006977362558245659,,84087
,,,,,,3.90625e-06,84088
1828,0.014742990955710411,0.16902761161327362,0.00744949746876955,0.002152061555534601,0.005141431000083685,,84133
,,,,,,3.90625e-06,84134
1829,0.015451313927769661,0.16908250749111176,0.007373450789600611,0.002149250591173768,0.005928611848503351,,84179
,,,,,,3.90625e-06,84180
1830,0.014969464391469955,0.16911999881267548,0.007380773313343525,0.0021475593093782663,0.005441134329885244,,84225
,,,,,,3.90625e-06,84226
1831,0.015220104716718197,0.16924230754375458,0.00741361640393734,0.002142520621418953,0.005663966294378042,,84271
,,,,,,3.90625e-06,84272
1832,0.015195723623037338,0.16928555071353912,0.007373054511845112,0.0021412379574030638,0.0056814332492649555,,84317
,,,,,,3.90625e-06,84318
1833,0.01493762619793415,0.1692045032978058,0.007367747835814953,0.0021364018321037292,0.0054334793239831924,,84363
,,,,,,3.90625e-06,84364
1834,0.01584954746067524,0.16911232471466064,0.007372335530817509,0.0021399767138063908,0.006337237544357777,,84409
,,,,,,3.90625e-06,84410
1835,0.014967001043260098,0.169065460562706,0.007243536412715912,0.0021399944089353085,0.0055834706872701645,,84455
,,,,,,3.90625e-06,84456
1836,0.016152631491422653,0.1689910739660263,0.0072629754431545734,0.002140328288078308,0.0067493305541574955,,84501
,,,,,,3.90625e-06,84502
1837,0.01488200668245554,0.1690615564584732,0.007333099376410246,0.0021374188363552094,0.005411485675722361,,84547
,,,,,,3.90625e-06,84548
1838,0.015120413154363632,0.16914816200733185,0.00735934404656291,0.002133213449269533,0.005627855658531189,,84593
,,,,,,3.90625e-06,84594
1839,0.01502667274326086,0.16905108094215393,0.007377262227237225,0.002116528106853366,0.005532881245017052,,84639
,,,,,,3.90625e-06,84640
1840,0.017223553732037544,0.16890116035938263,0.007362609729170799,0.0021180943585932255,0.0077428496442735195,,84685
,,,,,,3.90625e-06,84686
1841,0.014926550909876823,0.16890425980091095,0.007363378070294857,0.002128088381141424,0.005435082595795393,,84731
,,,,,,3.90625e-06,84732
1842,0.015336276963353157,0.16877299547195435,0.007130845915526152,0.002126744482666254,0.006078687030822039,,84777
,,,,,,3.90625e-06,84778
1843,0.015157589688897133,0.16897031664848328,0.007523134350776672,0.0021149159874767065,0.005519538186490536,,84823
,,,,,,3.90625e-06,84824
1844,0.015027729794383049,0.16899488866329193,0.007384150754660368,0.002107626060023904,0.005535951815545559,,84869
,,,,,,3.90625e-06,84870
1845,0.014776082709431648,0.16892297565937042,0.007416677661240101,0.0021135611459612846,0.005245841573923826,,84915
,,,,,,3.90625e-06,84916
1846,0.015245265327394009,0.1689598262310028,0.007389531470835209,0.0021168829407542944,0.005738851614296436,,84961
,,,,,,3.90625e-06,84962
1847,0.016404369845986366,0.16898709535598755,0.007287799380719662,0.002117493888363242,0.006999074015766382,,85007
,,,,,,3.90625e-06,85008
1848,0.014859811402857304,0.16896656155586243,0.007382998242974281,0.002112518297508359,0.00536429462954402,,85053
,,,,,,3.90625e-06,85054
1849,0.014712922275066376,0.1690046638250351,0.0073370435275137424,0.002112755086272955,0.005263121332973242,,85099
,,,,,,3.90625e-06,85100
1850,0.015934793278574944,0.1689826399087906,0.00728040374815464,0.002114700386300683,0.006539691239595413,,85145
,,,,,,3.90625e-06,85146
1851,0.018044523894786835,0.16904334723949432,0.007414534222334623,0.0021141688339412212,0.00851582270115614,,85191
,,,,,,3.90625e-06,85192
1852,0.015214797109365463,0.16902895271778107,0.007326021790504456,0.002116712275892496,0.005772064905613661,,85237
,,,,,,3.90625e-06,85238
1853,0.014511086978018284,0.16906337440013885,0.007383264601230621,0.0021193979773670435,0.005008426029235125,,85283
,,,,,,3.90625e-06,85284
1854,0.015190968289971352,0.16892951726913452,0.007245808374136686,0.002118737669661641,0.005826424807310104,,85329
,,,,,,3.90625e-06,85330
1855,0.014830912463366985,0.16898620128631592,0.007368114311248064,0.00210868869908154,0.005354105960577726,,85375
,,,,,,3.90625e-06,85376
1856,0.014859490096569061,0.16890545189380646,0.007385128643363714,0.0021104083862155676,0.005363951437175274,,85421
,,,,,,3.90625e-06,85422
1857,0.016315197572112083,0.16882427036762238,0.00724008958786726,0.002113488269969821,0.006961619947105646,,85467
,,,,,,3.90625e-06,85468
1858,0.01518644206225872,0.16879932582378387,0.007159974426031113,0.0021167376544326544,0.00590972974896431,,85513
,,,,,,3.90625e-06,85514
1859,0.014837970025837421,0.16892966628074646,0.007297087926417589,0.0021102572791278362,0.0054306271485984325,,85559
,,,,,,3.90625e-06,85560
1860,0.015674486756324768,0.16892804205417633,0.00739097036421299,0.002111670095473528,0.006171845830976963,,85605
,,,,,,3.90625e-06,85606
1861,0.014816760085523129,0.16892282664775848,0.007403194438666105,0.002103587379679084,0.005309979431331158,,85651
,,,,,,3.90625e-06,85652
1862,0.014680503867566586,0.1689637452363968,0.007393207401037216,0.0021029638592153788,0.005184334237128496,,85697
,,,,,,3.90625e-06,85698
1863,0.014606930315494537,0.16889873147010803,0.007324159145355225,0.002106688218191266,0.005176078528165817,,85743
,,,,,,3.90625e-06,85744
1864,0.01686527580022812,0.16892500221729279,0.007258577737957239,0.0021109560038894415,0.007495742291212082,,85789
,,,,,,3.90625e-06,85790
1865,0.014627791941165924,0.16895237565040588,0.007227915804833174,0.002103786449879408,0.005296087823808193,,85835
,,,,,,3.90625e-06,85836
1866,0.014951860532164574,0.16880393028259277,0.007316067814826965,0.002094848081469536,0.005540947429835796,,85881
,,,,,,3.90625e-06,85882
1867,0.01606404036283493,0.16885946691036224,0.007276366464793682,0.002094794064760208,0.0066928802989423275,,85927
,,,,,,3.90625e-06,85928
1868,0.015218142420053482,0.16882215440273285,0.0075011178851127625,0.0021040253341197968,0.00561299966648221,,85973
,,,,,,3.90625e-06,85974
1869,0.01605737954378128,0.16867707669734955,0.007311748806387186,0.002107165055349469,0.006638462655246258,,86019
,,,,,,3.90625e-06,86020
1870,0.015396731905639172,0.16875939071178436,0.007211876101791859,0.002109986264258623,0.006074870470911264,,86065
,,,,,,1.953125e-06,86066
1871,0.014610554091632366,0.16885237395763397,0.007294906303286552,0.00210698158480227,0.0052086650393903255,,86111
,,,,,,1.953125e-06,86112
1872,0.014145937748253345,0.16875585913658142,0.007272739429026842,0.0021016511600464582,0.004771548323333263,,86157
,,,,,,1.953125e-06,86158
1873,0.014466168358922005,0.16878843307495117,0.007184342946857214,0.0021013161167502403,0.005180512089282274,,86203
,,,,,,1.953125e-06,86204
1874,0.014442885294556618,0.1688249111175537,0.007297643460333347,0.002103391569107771,0.005041850730776787,,86249
,,,,,,1.953125e-06,86250
1875,0.014689600095152855,0.1687876582145691,0.007280068006366491,0.0021015130914747715,0.005308018997311592,,86295
,,,,,,1.953125e-06,86296
1876,0.01409867499023676,0.16874568164348602,0.007200221065431833,0.0021015694364905357,0.004796883556991816,,86341
,,,,,,1.953125e-06,86342
1877,0.014142363332211971,0.16876398026943207,0.007216547150164843,0.002101304242387414,0.004824512638151646,,86387
,,,,,,1.953125e-06,86388
1878,0.014369609765708447,0.16868749260902405,0.007247939705848694,0.002101464429870248,0.005020204000174999,,86433
,,,,,,1.953125e-06,86434
